step,wall_time_s,avg_recent_score,epsilon,loss
800000,471.7,2188.774,0.02,0.23075470328330994
820224,489.9,2177.0,0.02,0.2602366507053375
840192,496.0,2137.776,0.02,0.2943437099456787
860160,513.5,2080.706,0.02,0.35599973797798157
880128,519.5,2031.656,0.02,0.26284104585647583
900096,525.5,1998.446,0.02,0.1693141907453537
920064,542.0,1907.438,0.02,0.18993046879768372
940032,548.1,1859.668,0.02,0.267135351896286
960000,567.5,1827.008,0.02,0.304149866104126
980224,573.7,1809.0,0.02,0.18439771234989166
1000192,579.9,1795.756,0.02,0.16906604170799255
1020160,601.7,1753.114,0.02,0.24748386442661285
1040128,607.9,1746.032,0.02,0.2719874083995819
1060096,626.7,1730.058,0.02,0.2775688171386719
1080064,632.9,1719.58,0.02,0.36845526099205017
1100032,639.0,1718.602,0.02,0.25890088081359863
1120000,658.2,1698.718,0.02,0.24921609461307526
1140224,664.3,1666.618,0.02,0.2552582919597626
1160192,681.1,1660.594,0.02,0.2345944344997406
1180160,687.0,1647.816,0.02,0.2654811143875122
1200128,693.0,1652.534,0.02,0.3103974461555481
20224,11.0,456.9230769230769,0.9348,0.1699669510126114
40192,22.2,911.4929577464789,0.8695,0.18164636194705963
60160,51.6,1045.5744680851064,0.8043,0.17859399318695068
80128,62.9,1274.3739837398373,0.7391,0.24711892008781433
100096,74.2,1656.6233766233765,0.6739,0.12848171591758728
120064,10.1,426.4,0.6086,0.025690872222185135
140032,21.4,778.439024390244,0.5434,0.08354592323303223
160000,48.8,907.7165354330708,0.4782,0.12384207546710968
180224,60.5,1242.6666666666667,0.4121,0.07086823135614395
200192,71.8,1602.2780269058296,0.3469,0.1073305606842041
20224,7.2,122.4,304.0,1.0,
40192,13.1,257.7971014492754,1031.304347826087,1.0,
60160,39.2,271.36170212765956,1134.7659574468084,0.9052,0.15795975923538208
80128,49.7,300.51724137931035,1301.344827586207,0.8735,0.14395900070667267
100096,60.6,327.4573643410853,1468.9302325581396,0.8419,0.19290831685066223
120064,102.9,376.3243243243243,1791.027027027027,0.8103,0.21042689681053162
140032,113.7,468.1685393258427,2426.9887640449438,0.7787,0.18250644207000732
160000,145.2,514.0995024875622,2744.4378109452737,0.7471,0.15618523955345154
180224,155.5,554.5589519650655,3058.0960698689955,0.7151,0.21561896800994873
200192,165.7,572.664,3207.888,0.6834,0.14652793109416962
20224,7.1,143.07692307692307,390.46153846153845,1.0,
40192,12.9,242.87671232876713,952.1095890410959,1.0,
60160,326.8,259.7263157894737,1048.6736842105263,0.9052,0.14745408296585083
80128,336.9,278.9107142857143,1160.142857142857,0.8735,0.17646312713623047
100096,347.0,328.7313432835821,1466.0,0.8419,0.14701628684997559
120064,417.6,390.2125,1865.425,0.8103,0.1611405909061432
140032,427.8,441.0112359550562,2223.775280898876,0.7787,0.1929500252008438
160000,480.9,500.67,2642.74,0.7471,0.1860027015209198
180224,491.4,544.1038961038961,2968.6233766233768,0.7151,0.15974277257919312
200192,501.8,586.2248062015503,3312.077519379845,0.6834,0.18667975068092346
220160,555.5,587.3407407407408,3332.5037037037036,0.6518,0.15582077205181122
240128,565.8,634.7755102040817,3692.0272108843537,0.6202,0.16189473867416382
260096,612.9,643.0844155844156,3754.4935064935066,0.5886,0.1985088288784027
280064,623.5,659.9261538461539,3879.2615384615383,0.557,0.19399282336235046
300032,633.8,664.0,3908.595238095238,0.5254,0.21862398087978363
320000,682.2,694.1344537815127,4144.044817927171,0.4937,0.20036956667900085
340224,692.5,716.2520107238606,4306.627345844504,0.4617,0.20193886756896973
360192,733.9,748.0101265822785,4558.663291139241,0.4301,0.2208881378173828
380160,744.1,767.1518072289157,4725.069879518072,0.3985,0.19570940732955933
400128,754.2,1163.88122605364,8351.080459770115,0.3669,0.2788364291191101
420096,802.9,1197.919055649241,8649.112984822934,0.3353,0.19401291012763977
440064,813.0,1188.771875,8550.625,0.3036,0.1771639883518219
460032,854.0,1177.6732954545455,8434.142045454546,0.272,0.20665417611598969
480000,864.3,1164.784105960265,8297.308609271524,0.2404,0.19372250139713287
500224,874.5,1144.1851851851852,8081.822222222222,0.2084,0.18922121822834015
520192,924.8,1111.4282407407406,7787.259259259259,0.1768,0.1590253859758377
540160,934.8,1087.3290734824282,7555.288604898828,0.1452,0.18423564732074738
560128,976.5,1070.9415262636273,7373.8116947472745,0.1135,0.2199331820011139
580096,986.5,1045.5114364135407,7125.635864592864,0.0819,0.18973514437675476
600064,996.4,1021.9690455717971,6909.420464316423,0.0503,0.20411330461502075
620032,1045.0,1001.4255663430421,6708.226537216829,0.05,0.18019603192806244
640000,1055.0,984.6493108728944,6550.882082695252,0.05,0.20051899552345276
660224,1096.8,965.3783587509078,6372.976034858388,0.05,0.1921156644821167
680192,1106.8,953.322625698324,6257.905027932961,0.05,0.23114262521266937
700160,1116.6,935.4651625746516,6092.838752488387,0.05,0.18920038640499115
720128,1165.7,922.0554156171285,5953.201511335013,0.05,0.19170382618904114
740096,1175.6,913.3844282238443,5862.890510948905,0.05,0.19376429915428162
760064,1216.5,900.3050058207218,5737.811408614668,0.05,0.18946564197540283
780032,1226.6,888.2270450751253,5622.495269894268,0.05,0.1668698638677597
800000,1236.6,875.2734042553192,5506.168085106383,0.05,0.19869831204414368
820224,1287.4,863.6635897435898,5405.595897435897,0.05,0.7873926758766174
840192,1297.2,860.828,5363.812,0.05,0.2083427906036377
860160,1339.5,879.448,5476.782,0.05,0.25645744800567627
880128,1349.7,873.528,5420.186,0.05,0.18215662240982056
900096,1359.6,860.249,5301.276,0.05,0.223037451505661
920064,1411.4,843.025,5160.778,0.05,0.1658490002155304
940032,1421.5,820.215,4958.742,0.05,0.20448875427246094
960000,1461.1,724.131,4070.11,0.05,0.23842892050743103
980224,1471.3,690.118,3749.708,0.05,0.16195055842399597
1000192,1481.1,660.389,3483.392,0.05,0.15493245422840118
1020160,1530.3,642.467,3318.656,0.05,0.18685829639434814
1040128,1540.4,633.507,3245.952,0.05,0.2136761099100113
1060096,1582.1,629.785,3205.032,0.05,0.1837148368358612
1080064,1592.3,623.861,3147.22,0.05,0.20170670747756958
1100032,1602.2,613.158,3059.34,0.05,0.19232356548309326
1120000,1650.3,606.51,3006.48,0.05,0.17093518376350403
1140224,1660.1,599.297,2949.616,0.05,0.1658724993467331
1160192,1698.7,589.348,2877.598,0.05,0.21240830421447754
1180160,1708.9,594.326,2900.69,0.05,0.23380130529403687
1200128,1719.0,593.003,2889.792,0.05,0.21515145897865295
1220096,1766.0,587.022,2852.588,0.05,0.22139057517051697
1240064,1776.3,583.657,2833.556,0.05,0.17860352993011475
1260032,1811.2,573.851,2774.342,0.05,0.17749378085136414
1280000,1821.2,565.901,2723.67,0.05,0.2074318528175354
1300224,1831.3,566.325,2722.772,0.05,0.26191750168800354
1320192,1876.1,566.773,2720.018,0.05,0.17188358306884766
1340160,1885.9,563.714,2700.506,0.05,0.3002088963985443
1360128,1923.4,554.536,2636.894,0.05,0.18488340079784393
1380096,1933.1,555.135,2640.802,0.05,0.2622339725494385
1400064,1942.8,556.065,2646.136,0.05,0.19127041101455688
1420032,1988.1,555.806,2644.842,0.05,0.24199743568897247
1440000,1997.9,556.361,2654.592,0.05,0.20239564776420593
